文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,阅读数,在看数,点赞数,留言数
2021-12-31,AI创业，是商机还是泡沫,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870490&idx=1&sn=d47cda9b5c5b2eb71d6abfbb466f120c&chksm=f1074af7c670c3e135d377ce3c66482a5710d82b68583dc3dc104c61a86b1afc2c8511eb52f2&scene=27#wechat_redirect,AI领域，重金投入，商业产出寥寥，究竟有没有商业前景,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer3lLaQlohPAVoNkibD0l2meBuCiaicwxHJmYqEs5ia4Gud3KOWEmEywW6Rdnq9Kct7Qg9Oa9XZzoWE0dQ/0?wx_fmt=jpeg,,是,1,12156,105,336,40
2021-12-27,那么，咱就谈谈法规吧,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870484&idx=1&sn=d3926db31b05d92f75821b5bc70395f3&chksm=f1074af9c670c3effd969e8e73b89a662588bebc60d96a07062de2ddf9499fac1236371c1e82&scene=27#wechat_redirect,,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer2Uw1RY8zkbq2mp9D71j6OUdGzYiaZaU0DgnvWaicBuE6C4ldAiccZv4SR78JA83atlN350vQqrUjEeg/0?wx_fmt=jpeg,,是,1,35418,406,1230,0
2021-12-26,关于所谓0day漏洞的一些科普,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870479&idx=1&sn=074718c9c07e83ace8e4b3dd4bd94ee7&chksm=f1074ae2c670c3f4b09ba5123abb8412783565f62675dc99a0773cdecba0bbb275654824f299&scene=27#wechat_redirect,平心静气的做个科普吧，然鹅最后还是忍不住骂人。,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer19f9tOtriarK5ShRwmoicbnGHSHzssEC21odiavDibubOibdp6ect3kYqzMBx51AolSD0aicXASqQx52tA/0?wx_fmt=jpeg,,是,1,42294,571,1122,52
2021-12-20,素人做知识付费，还有没有机会,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870474&idx=1&sn=b9813f134311ccb53657061251e4f54a&chksm=f1074ae7c670c3f13ded50fb8e0e04db6366505ba180e47ac8cace2ae41ae95337d561440e9b&scene=27#wechat_redirect,机会总会有，但门槛越来越高。,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer15Kr1NSWpJgL8TaicVjAibZWXe0SZbricxVX3fZgOI34079L41evScKmHugEG8MmbvqWxSFhCM0PNoQ/0?wx_fmt=jpeg,,是,1,20993,38,197,18
2021-12-15,餐饮行业，卷向何方,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870469&idx=1&sn=c43ec7ff63491b4cb2b881fbe0612a75&chksm=f1074ae8c670c3fe4fe0b678a2bcb525cc8dc5dbfbe89aaf0ac9c103b59690f14be7bcba4d76&scene=27#wechat_redirect,有人说，餐饮行业，味道最重要，其实，不见得。,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer1vaBlQ13mlHvq9TUACibnwYVd0RWU743LaqIIlcwmaJQU2R3mnWaHhalNe3s9LyPH0WvF6A5DnDcQ/0?wx_fmt=jpeg,,是,1,26071,92,351,67
2021-12-08,追求完美是一种病,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870464&idx=1&sn=4e2841c522b83b1ca854eac5cbb709f0&chksm=f1074aedc670c3fbcdb027cf3583099774a1576966858fd6ddbd93a76cb28b6b75a613e8fea1&scene=27#wechat_redirect,凡事皆有两面，过度追求完美，很可能适得其反。,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer11LowoBsDABjGSA1H0qU58qrZZnsxW5MxIkbHLaB9uCa4n6ang4ias77uJjTtJtIexpjpGEgzTxYA/0?wx_fmt=jpeg,,是,1,21237,102,299,28
2021-12-01,营销的境界，向往美好生活。,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870457&idx=1&sn=13991892cd1ad2ea4d6871868174ac9a&chksm=f1074a14c670c30223d47e2b0c45185ad0568c95810624b6d59bcf681396471a79a86a0e52ef&scene=27#wechat_redirect,几个海外华人创业故事的分享及感想。,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer15Y85icHZc0oIOL6ibph7euXY2KzbZIIvCRZ4dXTL5DcAPU3UQA8w5XFfsFHxe0P8EfWCTIAwpHHxQ/0?wx_fmt=jpeg,,是,1,19400,61,295,31
2021-11-26,再聊聊财务自由,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870452&idx=1&sn=1862dd1d5049d0a39a91bd136a37d602&chksm=f1074a19c670c30fba3bf732602858ec666d397f6ec3e47c2c47314a3352f2870fde8c2b1034&scene=27#wechat_redirect,钱再多，心灵不自由，行为不自由，算哪门子财务自由。,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer39B2nmwialCtpNoNWrOP0p1ePWUick1goEBeUVKJsWkrEbJnbicDsQsl4AVHtHuCK6Jjud3ia7DuccicQ/0?wx_fmt=jpeg,,是,1,53077,175,475,99
2021-11-20,研发人员的产品观,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870447&idx=1&sn=a065ff452a1862f0ef48a4fd57a9e37f&chksm=f1074a02c670c3146b693095fa8569a3fbe91c5376c28a9a9e0c3f04d9df872ac8beca0b8f25&scene=27#wechat_redirect,老生常谈，研发懂点产品，沟通成本降低，开发效率倍升,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer1xsucnMn5vCaGCxSlJevMZsZV5XY2JVQuFibqjDfqFVgMsAx7tgdSpZh7ob53lt1AnuzFUlapIf5A/0?wx_fmt=jpeg,,是,1,34389,223,374,33
2021-11-13,虽然我没本事，但是我不要脸啊,http://mp.weixin.qq.com/s?__biz=MzI0MjA1Mjg2Ng==&mid=2649870442&idx=1&sn=01f319457b22c9a020b27b762ee6dbaf&chksm=f1074a07c670c311f6a73ce08c665f3a95091dc6e5e209e24f0f9e0947efafb6d919c9fd0afa&scene=27#wechat_redirect,挂一个算一个，这种流氓不能惯着。,caozsay,http://mmbiz.qpic.cn/mmbiz_jpg/nBKX0s8fer3aWcxRyPgcJ8CsJ9NWCk1bhuTgQdWuSEvibxwvNbmQsaMvfXgejIWBmkUm0XBmmdtShNEEbGg4ROg/0?wx_fmt=jpeg,,否,1,37821,102,493,59
