文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,阅读数,在看数,点赞数,留言数
2021-12-30,自由之路提前2年,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247490022&idx=1&sn=27a9cce20d644e2fcbb7dc82056756a9&chksm=fafb67cccd8ceedaf9430f88eb0952e8ece80fc4de4b9acd702d65813b104d08e4f729e59556&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAEcs4NFxoPqRRHLJia759v17yH3SGFVDOG2aPE8m7qicP5ldTnb3dT2nsDRDX1kh3wDTbSyzJRUT3ew/0?wx_fmt=jpeg,,是,1,32223,56,280,32
2021-12-24,算算储蓄险的真实收益,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247490008&idx=1&sn=753bc92d182ef450c16666b57612f4be&chksm=fafb67f2cd8ceee4b96119964093d2d42037b1352c818f89ba13c661aa6b0cf23bab41cb8429&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAFm4HCOuRNJYCOqP8P0b6Kt9o1T2ZGEGT98aIyvdlNxQhp3bODCpzNuuoibmqzlAibelVGsoYGIAic0A/0?wx_fmt=jpeg,,是,1,14632,34,146,25
2021-12-22,上涨下跌都舒服,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489995&idx=1&sn=226f515bf73ddeefe50d69cc2ccf414a&chksm=fafb67e1cd8ceef7fbc8ad497a629392fe6ec272ccc4b0a36acf5cadaefef612c630895b4223&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAEmiartMw2uKtjic2iaYACjxzraVnQP2c02GZ30kzQMhz5uQa4A5EJq2Xvc1kfXDwKict1N4iaWeVOwFEg/0?wx_fmt=jpeg,,是,1,23260,57,339,27
2021-12-08,爬上来跟大伙请个假，，这两天我生病了。因为平时极少感冒，所以我觉得这一定是身体在提醒我，该休息一下了。，，再加上按照之前给大伙分享的把意外收入作为奖励预算的思路，我和也太也攒下了一笔足够出去玩的奖励预算。，，再加上这几周也错开了德国的圣诞假期，旅行的价格只有假期的三分之一。，，所以我们决定提前给自己放假啦，做点自己的事儿，或者出门转转。后面几周更新频率会相对随意一些，大伙不要每天等我啦。，，想我的时候就再翻开这篇👉财务自由路上应该了解的每一个问题，重要的事儿都安排好了。，，PS：不要祝我旅途愉快，就祝我一趟回来再看账户钱又变多了吧[旺柴],http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489989&idx=1&sn=1f02cbcd7fd400d1ff120037439fd79f&chksm=fafb67efcd8ceef9ccff9a3ca1db16c489d0ee0c7745a884643efe097e4da4cbb091e32b2c69&scene=27#wechat_redirect,,,,,否,1,8488,13,106,0
2021-12-03,不是杠……,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489987&idx=1&sn=290eee3fdeaca073e23e24c94c4a21f4&chksm=fafb67e9cd8ceeffaea3c3947da2fcec5c74b52ef2fbd812bb7d22c4a45a2becdb85d820fb26&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAEEmicB6PjgyAKCy0KTTgufiakviaicXcF0OYxQ2rZFk28iaSlqAHrXNwccdGBWLMMoDEbKwibAOfC2Jo9w/0?wx_fmt=jpeg,,是,1,22055,66,259,22
2021-12-02,财富不会改变一个人，只会让他更像他自己，财务自由实证#33,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489985&idx=1&sn=b903124fda49464eaef9e4804786476a&chksm=fafb67ebcd8ceefd0983ca06d17266350f245060a52300210e2ba4fb372f41035bc969546b99&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAERtCeU9uMbt2W2EOGLg9YDYUE5kd8ia7rgNfk16JUhbvxgOJuP7Adox9Wmwib40VaLvq1Wz7FIPkVQ/0?wx_fmt=jpeg,,是,1,18106,63,260,32
2021-11-30,这个角度不错,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489975&idx=1&sn=be706049566d8646d610a5893168a372&chksm=fafb679dcd8cee8bb1dbf4ae9be4498b8add805e5b559638e60813cacef723db9b4b911915c1&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAF93ClSlfmVmBPrwTDSPQmpDeT61NmuwkFl4HjaQVczAkW43Et7sooCtfcDzsG9PZpogKQjBhOFSA/0?wx_fmt=jpeg,,是,1,18839,44,197,12
2021-11-29,买点稳的,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489964&idx=1&sn=73d1e5ddc8e0e09aee8e8d23f618f372&chksm=fafb6786cd8cee90cb6501a56b23633983b676bd3ef7548cef483332b7a3f6c71a9095c3cb0d&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAEiaXGy9aftRytWk7icluYefBf64c0xrRLiaL38de3COt3l7Lo54jLS4yOaZAcVWLNNNT2Rl4UiaxicicMA/0?wx_fmt=jpeg,,是,1,26481,21,102,7
2021-11-26,花60万出国读研，值不值？,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489951&idx=1&sn=f2216dfe188528e8e96256a4a8a3fc36&chksm=fafb67b5cd8ceea32c4f5fb77f4c93fe27d8ed24fa5dcf4f2ef36f8050a7efac0fe307256c64&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAE83uY1AIsibNCTGaRickO6mButbKLcgX0WQNfNvQPaKias5BAJ91dNic5CGyVoIDDOkFgsZPassDrCdw/0?wx_fmt=jpeg,,是,1,19054,45,198,15
2021-11-25,首次正收益，十年之约#11,http://mp.weixin.qq.com/s?__biz=MzUzNjE3NzQ3Nw==&mid=2247489941&idx=1&sn=aec11c2cb80e106036c9f4867106e3ac&chksm=fafb67bfcd8ceea91e53bf7bb154b963c0767a41e8e18dfc8976511e74a6b41ca993a1036f0f&scene=27#wechat_redirect,,也谈钱,http://mmbiz.qpic.cn/mmbiz_jpg/xd1hVMKQsAEEmicB6PjgyAKCy0KTTgufiaZ0qic2h5IkibugCXoHzLrhcq5fGFGlS2ls9HWX3FDpic97RTToOeBaO4w/0?wx_fmt=jpeg,,是,1,17830,33,168,16
