文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,阅读数,在看数,点赞数,留言数
2021-12-31,别2021年赋,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196869&idx=1&sn=c2e72858018c22c62e8591309101c13d&chksm=beab4ed189dcc7c71340dccdb19016ef47db879007b47e01c65225681e1eae2414208a3bf76f&scene=27#wechat_redirect,世间万物，诸般可免，唯别离不可免。春别离于秋，昔别离于今,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBID8k1gn6KsW9kxdO5XcZqwt1xFO2ze4zEx4a1ia1FSs4XnLcyAvMjTMDt4rYHJdATo2FTfmvk9G9dNA/0?wx_fmt=jpeg,,是,1,15809,159,347,25
2021-12-19,史记李靓蕾与王生书,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196863&idx=1&sn=4680ac54fda8d3c8080dc8cdad78f19c&chksm=beab4e2b89dcc73d827884ff61aa60a3b0e4b6ea32e41835c94201c80639309fc1b56810d12a&scene=27#wechat_redirect,不负春色不负卿，只负家中结发妻。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBIDicG8GePq56LlWibtyhVVM53ic6tCSZEFufGEegJVyuB9kJYE7DVQjPObzMdF80YpyYHBxlAQpAgcFeA/0?wx_fmt=jpeg,,是,1,54794,313,668,70
2021-12-13,史记南京大屠杀,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196852&idx=1&sn=b080c0f554c64a5c464006eb4bd12ded&chksm=beab4e2089dcc73672ec740175029abfcfd285f76a5b60be3f3e0c191fb872af34e03758b9d9&scene=27#wechat_redirect,史记南京大屠杀抗战者，中华之痛史也，而南京者，痛中之痛也。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBID9XauW2b4eeY3nwBJCOvPUqNGGibAdCpCFibGaJUibXyY8KgrstDlicQcEY7e8OoHHshgot2szQHVcDnQ/0?wx_fmt=jpeg,,是,1,15877,222,356,37
2021-11-30,史记范伟小传,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196844&idx=1&sn=288d2c736e2754e29b60284fcf18e648&chksm=beab4e3889dcc72e6e85e611f6c86b7a0e7b91d7898154f0e9d60ab0f7e30fbe2480d763af65&scene=27#wechat_redirect,小品之与影视，视之如同行，践之则为隔山也。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBID8uqgjEianp0oceJQRhaPOcj8scSlIcWYUXwblwmsDpqMPNZPC1cUMkhyzbKVKmr2pUpAiaUDx0nAEA/0?wx_fmt=jpeg,,是,1,26964,153,336,56
2021-10-03,史记长津湖之战,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196835&idx=1&sn=cc63c11ca564e0ba074ce630549d84de&chksm=beab4e3789dcc72197c6330dc41c42ff8fe71c693084662659b93c81335f0ab0cfd587dfdc6e&scene=27#wechat_redirect,苍山无语，残阳如血，忽有故人心头过，思之，乃雪中壮士也。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBID9C2lzYEVQQ1FsMba0okvGDXl1Uh5DC8tN86vdocZ3FAOzLEUNoacw59b6PBYI33b2aiccic4J3j7WA/0?wx_fmt=jpeg,,是,1,35444,343,624,54
2021-09-14,史记月饼赋,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196828&idx=1&sn=a31e85a01f556b9128a5fcfc4c10831b&chksm=beab4e0889dcc71eb60ad9b175ad347066f67a7ec0d789574831ea3927e0ee0657b208db5818&scene=27#wechat_redirect,以此宝盒，盛此月光，华彩美肴，盛世年年。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBID93yFjjDxfUuKlGYcbzWMRzSoUetcSh9GQLMvs49R06wz4bIbqunCAv8WA3Hyek14QSZ4Cdh9UCEA/0?wx_fmt=jpeg,,是,1,10923,46,97,6
2021-09-09,走散，是最好的分手,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196802&idx=2&sn=1b2827f96fcbdea687c489af9b963a01&chksm=beab4e1689dcc700a7c2a5b436622ee3b9c3c84c793ad6d4e91474f513edbf6588af1b5f3b8c&scene=27#wechat_redirect,如果自己不对自己的快乐负责，，那还有谁能拯救你悲伤的灵魂。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBIDicr7fmhU7pic7oPTBZIEDY5du5kKXy2pp64hicxenpQu0icv9BQOddqshYeaxVSqibJ7uUd3fwHhYgfOw/0?wx_fmt=jpeg,,是,2,5003,40,105,9
2021-09-09,史记扫黑英雄传,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196802&idx=1&sn=8d1bd4ccc7c775f6f348688dfc4ebbdd&chksm=beab4e1689dcc7001d4df55784d396ccf9f1414d40101d1ff6be4fc50424121a2ba2d3b3c5b0&scene=27#wechat_redirect,欲长空朗，当扫乌云，欲苍生安，涤荡豪强。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBIDicvgoSpHFYKjEU9NfvFdyoBA86W3C5aXGiazeRCTXkRAr2iataBgyH9HTvrME71sFFFNM8ombso7w6w/0?wx_fmt=jpeg,,是,1,12430,83,134,15
2021-08-06,史记全红婵小传,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196764&idx=1&sn=10cdf3401488dbafc978f2c853f95092&chksm=beab4e4889dcc75e20a1153dc167225132baeedf481c15fda83ff811a623192825f75e8d7f31&scene=27#wechat_redirect,立我乎三丈之台，纵我乎沧海之浪，少年乎得志寰宇，前程乎岂可斗量。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBID8Nvib4GicHzFmNYnrno5soRMjxHCtiayo0s76ibYdMXUmBm5ibwToiaE8fygkw3LKZwKibAiaCibfZiaSFosiaw/0?wx_fmt=jpeg,,是,1,40448,548,836,49
2021-08-02,史记苏炳添小传,http://mp.weixin.qq.com/s?__biz=MjM5MjI0ODg5MQ==&mid=2650196747&idx=1&sn=4b1066d4bd48f42e27e09931f590093f&chksm=beab4e5f89dcc749bcb363ded59273d4185ef787ae114f396d92a3a2b7559aa923f0e4157b57&scene=27#wechat_redirect,若一日不奔跑，则一日无意义，愿吾辈一日不忘苏神，一日不忘奔跑。,刘备我祖,http://mmbiz.qpic.cn/mmbiz_jpg/kQeCUPjBID80pXYb0ooRdo6D7RJRtNk6QypuBOd04YYk85B1cd342zE5qIldq3evtu82Sa7EXZ2ym0Dt5HYYnQ/0?wx_fmt=jpeg,,是,1,24140,236,542,19
