文章日期,文章标题,文章链接,文章简介,文章作者,是否原创,文章位置,阅读数,在看数,点赞数
2021-12-31,深信服荣获深圳市首批重点企业研究院,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550245&idx=2&sn=9ce0fd6de0fbb42ac1e3ebcf37ca5e67&chksm=beb32a4689c4a350806bba0752e1786fd24c73b6630166f6231073e2ec1c21b003c0fffa65f2&scene=27#wechat_redirect,电子信息领域全市仅有13家企业获得认定,,否,2,994,1,11
2021-12-31,政务信息化高级研修班（第二期）圆满结束，深信服助力政务信息化高质量发展,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550245&idx=3&sn=0bb5a082b60f0a1e885e2e2908db8802&chksm=beb32a4689c4a350572bc2b68182851d91870ced3f514886fd5e4ca10e7fe60222b72baf747c&scene=27#wechat_redirect,深信服协办政务信息化高级研修班（第二期）,,否,3,319,2,2
2021-12-31,深信服获评教育部标委会2021《高等学校数字校园建设规范》优秀应用案例,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550245&idx=4&sn=2b52df186b7600c81769deecbb636cd6&chksm=beb32a4689c4a35060eb24169c28f23d4604f55f47a4a1c42cfe68ae8b6fb53876c607bfa489&scene=27#wechat_redirect,,,否,4,140,0,0
2021-12-31,护航双碳能见未来，2021深信服助力能源行业数字化转型之路,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550245&idx=1&sn=178b6dba010a57c4edc3573573c6ce75&chksm=beb32a4689c4a3509e275105b5ba034ddb97f57285fef836ac2ac1d5ab72d05c32f60d04e696&scene=27#wechat_redirect,构筑IT稳固基石护航双碳，共建数字化转型能见未来,,否,1,689,4,8
2021-12-30,这一次，我们用SASE为教育信息化建设保驾护航,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550197&idx=2&sn=b4caeb931bf9c5d9122976f13635ecfa&chksm=beb32a1689c4a3008d8d10514a09edc0fd54252a3d0e91ee9c403bd5026b750d17ab0f3bb788&scene=27#wechat_redirect,文末有福利，解锁30天免费试用！,智安全,否,2,1266,5,11
2021-12-30,12月安全快报，ApacheLog4j2漏洞知多少,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550197&idx=3&sn=68bd700c1d756c854c14102b050bdb95&chksm=beb32a1689c4a30047897fb34f67751f4dd36292fc94c6c6686350d76913e2064eae9582d87a&scene=27#wechat_redirect,本月快讯共20条，阅读大约需要花费6分钟。,智安全,否,3,276,0,1
2021-12-30,报名，高校网络安全专题研讨会暨《2021中国高等教育网络安全报告》发布会,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550197&idx=4&sn=c578a070e1f88c22022466d6349c8717&chksm=beb32a1689c4a3005b64081b59c43b26b980d4f24316adcb213a9554635283327c3a432dcb26&scene=27#wechat_redirect,1月7日14，00-17，00深信服官方视频号线上直播间,,否,4,246,0,1
2021-12-30,绝对的信赖！这些医疗用户都部署了超过千点桌面云,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550197&idx=1&sn=5091ac67d4dfdd4b936f89d35de542ab&chksm=beb32a1689c4a3004441ba49d111f1992dc7027c68953987c6f69a6c01d111a8368fa77bc321&scene=27#wechat_redirect,千点级别部署为医疗用户打造云化办公空间！,新IT,否,1,1317,5,10
2021-12-29,云上合规更专业！信服云托管云提供等保2.0解决方案,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550044&idx=2&sn=c14fd606657c5f9e531d403412f78814&chksm=beb32abf89c4a3a94265d200b5f514d5c5470925a9aa1d4dbb9714eb8a4b4dca7f7495f3c818&scene=27#wechat_redirect,,信服云,否,2,584,1,2
2021-12-29,年度安全技术汇报.pptx（内容不多，全是干货）,http://mp.weixin.qq.com/s?__biz=MjM5MTAzNjYyMA==&mid=2650550044&idx=1&sn=5f8da4baeec3d54e181cf41b148d4328&chksm=beb32abf89c4a3a963f36a8ba9948795327f1169f8696773032aae11dbd8bd51e68c70f5bb1e&scene=27#wechat_redirect,你们的问题和需求，我们设身处地研究思考过，并且给出了答案,智安全,是,1,12956,20,47
