文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数,赞赏数
2022-09-30,控制高血压、糖尿病的攻略来了！建议为父母收藏,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657797276&idx=2&sn=05896e85719c63dc9c5f116ae7947d5b&chksm=490ec0f27e7949e485ae24b70ec972b9cd21e4787d9e1703146905bbe1a98e280bb29c2702ea&scene=27#wechat_redirect,给「四高」人群的一份全攻略！可操作性强，通俗又易懂，让你面对四高不再怕！,,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd5TheSztNWehP1iaJHS2zic4OLufz7YhgNEEUwlqiastTKDwJhCkAicS0Yd4Xs2NM9R6Iv1VEQI6J3pEQ/0?wx_fmt=jpeg,https://ask.dxy.com/ama/index?um_chnnl=fwhtp#/activity-share?activity_id=174,否,2,否,,,100001,83,123,0,0
2022-09-30,眼皮跳是怎么回事？出现这4种情况真的要注意了,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657797276&idx=3&sn=5e6482a140c417f92435064c10e3e646&chksm=490ec0f27e7949e4365d8101a0cafecd1d1f6e673e76d8a923c5209b0a52a449e897a1dc2c4e&scene=27#wechat_redirect,上丁香医生App查健康百科，健康问题，一查就懂。,健康百科,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd5TheSztNWehP1iaJHS2zic4OBsl9xsOSxvZcTdAURBPHNCibmWLMyNoeT0P1iav7xZERunUrfHm66VEg/0?wx_fmt=jpeg,,是,3,否,,,34205,15,49,0,0
2022-09-30,乳房肿块、胀痛的问题，每个女生都应该了解,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657797276&idx=4&sn=c60a25c07edc42f4bea3b27d66b0ae5c&chksm=490ec0f27e7949e470e70b7bab99cda6194eac0f0a7b53fae4e9e2208d4cb4c521c988d28f8a&scene=27#wechat_redirect,乳房问题要不要治疗，听听医生怎么说。,,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd5vLsuNI04K3aEGvVI9FNMdoj6xdAFcZGp8iaAtwm70bbWsKD058FW3OjsBiatQVZHH6lr5crRJUwug/0?wx_fmt=jpeg,https://ask.dxy.com/ama/index?um_chnnl=wxdbtp#/activity-share?activity_id=174,否,4,否,,,16840,9,26,0,0
2022-09-30,打HPV前查出小问题，还能打疫苗吗？,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657797276&idx=5&sn=72391471e96ef9cb20e8e1d2f538f938&chksm=490ec0f27e7949e41cface2b728cdec60e2e0434b49b6a5a6dd6b4b2e0a7af4455ef53ea7bcb&scene=27#wechat_redirect,上丁香医生App参与热门话题讨论，与医生互动，看医生解答。,,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4uic1QNBSaIFfVc70sriagKhlIy0UJ1DPxxo40ELCAQsADudDFfqUsfJWsOChRut6ZZvtoYC0ibga0A/0?wx_fmt=jpeg,,否,5,否,,,12426,10,22,0,0
2022-09-30,收藏！我们请27位权威医生，给你和家人66个健康建议,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657797276&idx=1&sn=2e0a4073079d0c08bb5f9a0e8702a4b0&chksm=490ec0f27e7949e4c9bfa2890e616bbb18c337b629bbc136e6de0ab02b6b9e7816794a8f0f53&scene=27#wechat_redirect,愿所有爱你的和你爱的人，都能在这个季节平安健康。,愿你安好的,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4icIibrNzAw4LY2wNibmwkj7AiagJ5dAqemYNsK96sJjjFTWDcNpekgey9KIUNCFAV0NDCuWJhkFW6Jg/0?wx_fmt=jpeg,https://ask.dxy.com/index?um_chnnl=wxdbtp#/activity-share?activity_id=207,是,1,否,,,100001,1212,2086,0,0
2022-09-29,丝状疣反复长，可能因为你做错了一件事,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657795207&idx=2&sn=582aac2657ea0fa76e5dabe763ea8212&chksm=490eb8e97e7931ff6346c62454566edb793611ef2fb54346ca55941b25d6b25f372b99378bab&scene=27#wechat_redirect,上丁香医生App查健康百科，健康问题，一查就懂。,健康百科,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4snsLS97PsvAImQqENfXlctgOMMoppY5FiaGSxe0A0c8IPmgKwwKhNjTsUicE9tb6Rlv9E6kShPmLQ/0?wx_fmt=jpeg,,是,2,否,,,100001,41,142,0,0
2022-09-29,戴眼镜会不会让眼睛变形？真相让人意想不到,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657795207&idx=1&sn=9d2909058baa0f549080cf97353a0d79&chksm=490eb8e97e7931ffdf4103810d2a4c16764b87b28775625630b193241b2b91adb29c361d7fc9&scene=27#wechat_redirect,眼镜真的背了太多黑锅～,正在成为凹凸曼的,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd5TheSztNWehP1iaJHS2zic4OPltNkLiaVFy6qJCwXicgRjAC5k1hOXhBiam9PmG2hQkrRtic9EBBAicLrgA/0?wx_fmt=jpeg,,是,1,否,,,100001,128,275,0,0
2022-09-29,一招治灰指甲，管用又省钱！,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657794726&idx=2&sn=0a6a275f01ee6cb3efc92eef3219ac41&chksm=490ebec87e7937de41b2f89731f641e92d49681fdede41a3c7deb81041fd7c24a6fda466eea3&scene=27#wechat_redirect,治灰指甲，千万别去街边修脚店！,丁香家,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4VZ8jMVYVkic2phw4icgicR45JE0QZ3x9xMBOIOCFicdGYGEDlCwmbhzHaJUDNExdM6icKMHcrq4I6BoQ/0?wx_fmt=jpeg,,否,2,否,,,88846,53,88,0,0
2022-09-29,一个减肥小技巧，不用长期节食也能瘦,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657794726&idx=3&sn=fb6d7b80844fe78ae1da12ba1e6dfc8d&chksm=490ebec87e7937deeca04d94b1249aab56f17c1d65230ab04a722d14163f0a3236fccc1a40b1&scene=27#wechat_redirect,上丁香医生App查健康百科，健康问题，一查就懂。,健康百科,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd6shjKLicFlRCiat5M26R13LQibtwrGvGMGlrxNgxJqgIcnypibC5KNfjNvFPkB9Vv3N9ia9WNPlchCicwg/0?wx_fmt=jpeg,,是,3,否,,,56382,35,69,0,0
2022-09-29,张口呼吸？睡觉打鼾？当心是腺样体肥大,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657794726&idx=4&sn=217bf8edc615253bea3c9f0b4d72ef5a&chksm=490ebec87e7937de0cd7a522ffd7c97ac96cf6c2b0766a5a426e8d946312bd106cc70d170d3b&scene=27#wechat_redirect,打呼噜是真的睡得香吗？,,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd5TheSztNWehP1iaJHS2zic4OiblbMoypiavOSWefbNc0j3Ds2o9PIUkAE78wwH5jiaeA63XwaqB8CGSibw/0?wx_fmt=jpeg,,否,4,否,,,18034,12,31,0,0
2022-09-29,网上很火的精简护肤，真的有用么？,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657794726&idx=5&sn=26f74a02473aa8170524d45ba9e05d9c&chksm=490ebec87e7937de797199a6fcf5d00b218ce5a814c4adb9084d3d4ecfb3039807295a9c6f04&scene=27#wechat_redirect,上丁香医生App参与热门话题讨论，与医生互动，看医生解答。,,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd5TheSztNWehP1iaJHS2zic4O9vJoEK5icvYgzeIDg6TcuWBib3JD6sVmMwSPbf10BYTJpkIo0V0dXJ1w/0?wx_fmt=jpeg,,否,5,否,,,22451,3,21,0,0
2022-09-29,怀孕了，还可以养猫吗？,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657794726&idx=6&sn=7f797e2988cbcd89d46c74187e44484f&chksm=490ebec87e7937de22595373a95853038afe74986446f28463d975873a4c65f061ad2c0bd160&scene=27#wechat_redirect,每天一句大实话。,,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4ntDdu9oMLcRNzrjzTRx4icUzmI0hfUbpiaVMB8rPk1EqGtXa9IZk1QtLjBaGMs3We9iavicEDAdmQLQ/0?wx_fmt=jpeg,https://ask.dxy.com/index?um_chnnl=wxdbtp#/activity-share?activity_id=207,否,6,否,,,21727,25,80,0,0
2022-09-29,汽车致命隐患大全，这些东西打死都别放车里,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657794726&idx=1&sn=94cb56b70bf3ff766577278dddbb5f64&chksm=490ebec87e7937de725a50a43d88ec0e2dbc23d3d2addb8acf92822c3425d1164201082827cb&scene=27#wechat_redirect,大家一起来找茬,杨大风,https://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd5TheSztNWehP1iaJHS2zic4O2E71CAiaoTUrH9b9iaqeEictlYSo9GcNAF3p1gd1pmqVpXTneruQBOddQ/0?wx_fmt=jpeg,https://ask.dxy.com/ama/index?um_chnnl=dy#/activity-share?activity_id=331,是,1,否,,,100001,1443,3316,0,0
