文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-07-21,暑假亲子冲突频发，家长和孩子怎样才能和谐相处？,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290924&idx=2&sn=4c873d15c8a8dc8721fcd6a15bf669e4&chksm=90452ebfa732a7a9fbc422842d3a6d9f5b43c6d7425079a6aa63b2f8853f42cf7812290682ad&scene=27#wechat_redirect,加入《李雪霓·青春期家长必修课》，学会用科学的方法帮孩子成长。,,https://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6TWUHrY3dLIap9Nvl4ulJja6t7VgDkp3bPJMcLopcLpLrOdiaSXsToZrq5Jd3ldjFLR3OAKQjF1j5Q/0?wx_fmt=jpeg,,否,2,否,,,0,0,0,0
2022-07-21,布置工作时，怎样让下属准确理解任务，减少返工？,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290924&idx=3&sn=f62dc6e542f0ba9d91b71695cdf493c6&chksm=90452ebfa732a7a951d1355cfed7ce13ed222e59839c59771edf769f3f53916cd6c95da27f29&scene=27#wechat_redirect,要想让下属准确执行，首先要学会框定界线。,得到训练,https://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6SzPqIMicLCuJpn3ugbrq5cfZwv2K1INGUJycbCSGicCAhgiaVLE8IHjN44j6d5xbMTTX9aWGb6Ykj8w/0?wx_fmt=jpeg,https://mp.weixin.qq.com/mp/homepage?__biz=MjM5NjAxOTU4MA==&amp;hid=7&amp;sn=587b662d7f3495a1b2dde6ff38beb249,是,3,否,,,0,0,0,0
2022-07-21,罗胖60秒：为什么成功销售不见得是好事？,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290924&idx=1&sn=6da025ba4b43ded8009a904f4e5473c7&chksm=90452ebfa732a7a92748c929ced16694952e7be34bd9e22c6b1fb8c6a24abc28b97caa64db1c&scene=27#wechat_redirect,商品的迭代是建立在真实的用户反馈的基础上。,罗振宇,https://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6TfJScnqiawPibYZWOatAGWLSlqyJxtMSQiahabibByDtQ7ABRBTVF0EicEzHVvACKxxJpS9Q3Xicc6xN7Q/0?wx_fmt=jpeg,https://mp.weixin.qq.com/mp/appmsgalbum?__biz=MjM5NjAxOTU4MA==&amp;action=getalbum&amp;album_id=1681628721901830149#wechat_redirect,是,1,否,,,0,0,0,0
2022-07-20,临场发言，怎样讲得有水平？,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290894&idx=2&sn=3ee36b620e4cc31714b2a65f20ddb116&chksm=90452e9da732a78bf4a09afcae31d07355e9b00f63c90c345a2668dbed72c9c6779494a91284&scene=27#wechat_redirect,《高管口才小班课》全新升级，1V1辅导打造你的专属演讲,,https://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6SCYuhPKphdxibeQOmJuGatZcic3erKjU6FE4IyxBn2Y5QcWoialKIFNia14Kuia5Dzc7VZWWWXcJ6CFMQ/0?wx_fmt=jpeg,,否,2,否,,,0,0,0,0
2022-07-20,怎么跟领导搞好关系？做好这三点，让你获得器重,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290894&idx=3&sn=0297b1f4a073c09c57b63f325d1d54a0&chksm=90452e9da732a78b8dde4a449febe2202d00031f87ddf10cc5b4eb8ccc50af0893bc94ec4c18&scene=27#wechat_redirect,别让缺失的沟通软实力，埋没你的硬实力。,得到训练,https://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6SzPqIMicLCuJpn3ugbrq5cfZwv2K1INGUJycbCSGicCAhgiaVLE8IHjN44j6d5xbMTTX9aWGb6Ykj8w/0?wx_fmt=jpeg,https://mp.weixin.qq.com/mp/homepage?__biz=MjM5NjAxOTU4MA==&amp;hid=7&amp;sn=587b662d7f3495a1b2dde6ff38beb249,是,3,否,,,0,0,0,0
2022-07-20,罗胖60秒：中文危矣了吗？,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290894&idx=1&sn=3276a071500832f00c2bf606ec84ccba&chksm=90452e9da732a78b485a5efe65e6d3a1a824d5f8043796a1f120061258e539fafaabdedb2cee&scene=27#wechat_redirect,汉字就像是一条生命力旺盛的大河，可能会暂时汇入污浊的支流，但它最终会澄澈回来。,罗振宇,https://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6SCYuhPKphdxibeQOmJuGatZDUFoqVxDnpg7LPxfzjMtQFvGQ1Nmywwic3ZcicljsTChDnAVib3Wxy2pQ/0?wx_fmt=jpeg,https://mp.weixin.qq.com/mp/appmsgalbum?__biz=MjM5NjAxOTU4MA==&amp;action=getalbum&amp;album_id=1681628721901830149#wechat_redirect,是,1,否,,,0,0,0,0
2022-07-19,重磅上新！国家高端科技智库期刊《中国科学院院刊》来了,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290861&idx=2&sn=a6c55474bcc6c354cd809c06de555b1b&chksm=90452e7ea732a76843fe91f064d28b79f5b3086ca51058c07971c0af5099137711b9c35d38e9&scene=27#wechat_redirect,看懂国家科技前沿发展，就读它,得到电子书,http://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6QBu0EZodhVOsRoBMZA0t3muWn2xGdXKUR42rlDrnMAtZRQ8Z4Mia2Gfjtfe0zGczicVrHv4FVyL0AA/0?wx_fmt=jpeg,https://shop96693699.m.youzan.com/wscgoods/detail/2ovma5mc5fs9nto?dc_ps=3015960471862869000.200001,否,2,否,,,0,0,0,0
2022-07-19,和菜头：关于创业的五个劝告,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290861&idx=3&sn=22db4cd72c42f6685676ab289142270c&chksm=90452e7ea732a7688d093bbea296b7f10a06cc040d93b13dfa6fd3f52c693782be8790551129&scene=27#wechat_redirect,只有社会和人们愿意接受，你的任何创业项目才会有价值。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6TUHd3QZ7bAgbEeIoolmeuor3NYN8bSF1F8O3DDvR6BPHFF2vBXibchMz8qsIJ9Cc5DFQbsQ2FIwLg/0?wx_fmt=jpeg,,是,3,否,,,0,0,0,0
2022-07-19,罗胖60秒：二人世界的质量由什么决定？,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290861&idx=1&sn=aedb80d44ac1c5e7ad42cc6bc417d4b8&chksm=90452e7ea732a7683f9b83108b9b7c27cb7e9c627eb61d561628e6df0dd242834fbb06c92395&scene=27#wechat_redirect,最后起决定性作用的，其实是旁观者的感受。,罗振宇,http://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6QBu0EZodhVOsRoBMZA0t3mjiaE314j5g83z8QST3IT1oTT1u7aTUAHr4rY5aVQv335iaByzhdYhdsw/0?wx_fmt=jpeg,https://mp.weixin.qq.com/mp/appmsgalbum?__biz=MjM5NjAxOTU4MA==&amp;action=getalbum&amp;album_id=1681628721901830149#wechat_redirect,是,1,否,,,0,0,0,0
2022-07-18,30岁想转行，怎么办？,http://mp.weixin.qq.com/s?__biz=MjM5NjAxOTU4MA==&mid=3009290823&idx=2&sn=f715a849853f1739aa022501eca60945&chksm=90452e54a732a742a657e07165044b65cf8ac35f44e36dc3686e4e6c975a07e674aba123f644&scene=27#wechat_redirect,能力可以组合，就可以分拆。,古典,https://mmbiz.qpic.cn/mmbiz_jpg/I0y5GhSOx6SAHI5rgvicxcEeJwpBPnJcZWFbj6TxRN4ExcERvEDEMeSsbwv4yRm0SliaJhCGBQ7P5SVl2rtWiclRQ/0?wx_fmt=jpeg,,是,2,否,,,0,0,0,0
