文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-07-12,网传“湖南长沙县有小孩被偷”系旧案谣言丨今日较真榜,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678986&idx=2&sn=44007fa268a8b0e46e9f6951676116e4&chksm=f3c9d77cc4be5e6af44dcb619303831cb34c893ca52d74311af6ad4ad07ca3c609ade525c55f&scene=27#wechat_redirect,今天有哪些传言，看看是真是假？,较真妹,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbmqKZthVFt12AttniaXX8DysfiaoDbtwG6gwTGOqTe5bQXF0OkUCqYAEmpO5G1DvibQrQzg3gZTJI0aQ/0?wx_fmt=jpeg,https://view.inews.qq.com/tag/aEOnyrJdhWc=,否,2,否,中国,湖北,889,7,10,0
2022-07-12,莫言曾写《酒色赋》提倡“喝酒无罪，好色有理”？早已证明是伪作丨较真头条,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678986&idx=1&sn=edf32a87e056726c7ab1d464f1d03cbd&chksm=f3c9d77cc4be5e6ac827a0a1d2bfb19caf1e1746227a125b93b215bca2018b0fe7f1873ab1f6&scene=27#wechat_redirect,别再被所谓的“名人语录”骗啦,较真团队,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbk1tMbqIoicPiaEgUOHk2WtsHqXMcxkwGfF6kbQNfOoSfyMcvZg904CZXwHqMChuicyqXRnAIE1P4YRw/0?wx_fmt=jpeg,,是,1,否,中国,湖北,5081,26,48,4
2022-07-11,WPS被曝会删除用户本地文件，公司回应：该说法纯属误导丨今日较真榜,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678977&idx=2&sn=3f1d760cf2d5658775def88f29d09ed5&chksm=f3c9d777c4be5e61e81d1846d4505ce5a8fd4b2ad70ad47ec07954d6e9879ffca79273bf9efb&scene=27#wechat_redirect,今天有哪些传言，看看是真是假？,较真妹,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbmqKZthVFt12AttniaXX8DysfiaoDbtwG6gwTGOqTe5bQXF0OkUCqYAEmpO5G1DvibQrQzg3gZTJI0aQ/0?wx_fmt=jpeg,https://view.inews.qq.com/tag/aEOnyrJdhWc=,否,2,否,中国,江苏,2573,6,17,0
2022-07-11,从唐朝的“冰酪”到“烧不化的雪糕”，雪糕是进化了还是堕落了？丨较真头条,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678977&idx=1&sn=85dc5ac9478a464e70a987d6c4bad4ea&chksm=f3c9d777c4be5e61c1ed0d44c9c986932def3092f264d02ffd23afada2e42aee57240ddb1292&scene=27#wechat_redirect,食品科学的进步，被玩成“肯定有问题”的梗，这并非第一次，也不会是最后一次~,我是云无心,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbnaubslBMTQEKvsmXCAg7n4dHzcByUz6I65latDM1qccH7MmnALLe0LXoODg8vsoodZmfEcnAOBYA/0?wx_fmt=jpeg,,否,1,否,中国,江苏,5002,9,39,0
2022-07-08,姐妹们！坐高温下的石墩子真治不了痛经丨较真的医生,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678962&idx=2&sn=b58d6ab33880d7c5685d85c4224fc857&chksm=f3c9d704c4be5e12a6795ceb2012c55d42c72af7cdd83881ed1b14a2c8801729184ecde5c9c1&scene=27#wechat_redirect,痛经到底怎么治疗？石墩法真的有用吗？,郭煦,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbmqKZthVFt12AttniaXX8DystjUVEnTfiawxXUjapR15f1Oky4dtjmAjiaADyp4Mch4LY7LJZ5iaKBIIw/0?wx_fmt=jpeg,,是,2,否,中国,福建,4030,7,19,4
2022-07-08,枪击安倍的是原日本自卫队低级军官原汁霍威太郎？假消息丨今日较真榜,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678962&idx=1&sn=57693f9ce223dcc53ec332000423b3cf&chksm=f3c9d704c4be5e12e41fbe8714d4a7ddde1e774a971addc676028abed9a526822296415b5fdc&scene=27#wechat_redirect,今天有哪些传言，看看是真是假？,较真妹,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbkgceibic1Xdx1OROew2MhmO3S7HZLhx7vXoKUIbethYc06VEdzLKPKmwgqIqznhzj8htlRhcH8DnMw/0?wx_fmt=jpeg,https://view.inews.qq.com/tag/aEOnyrJdhWc=,否,1,否,中国,福建,15425,32,63,2
2022-07-07,妈妈辅导儿子作业，结果被气成“鸡爪手”，是中毒了吗？丨较真的医生,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678946&idx=2&sn=320ad3162eb840854d8fbfc27b974281&chksm=f3c9d714c4be5e02321d3196d8b4cd563b8b9b5050f049eeb140512c231c16a145224ab5f979&scene=27#wechat_redirect,什么是过度换气综合征？换气过多也有危害？,黄娟,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbmqKZthVFt12AttniaXX8DystjUVEnTfiawxXUjapR15f1Oky4dtjmAjiaADyp4Mch4LY7LJZ5iaKBIIw/0?wx_fmt=jpeg,,是,2,否,中国,福建,3352,14,35,3
2022-07-07,哈根达斯被查出一类致癌物回应：涉事批次未在中国大陆销售丨今日较真榜,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678946&idx=1&sn=ea43c7e71e10379c8af3e9324a5de9ff&chksm=f3c9d714c4be5e020ddaac1c3a228c279adbb9224f6979fa38ceb1addc476ff0f10c6b01c2b6&scene=27#wechat_redirect,今天有哪些传言，看看是真是假？,较真妹,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbmXmyrRy5M5icrl5ze9PIVewKiba6WlpcnXfXQRYyiatyMw7rn1zaUt5lGrvrskLAaFiapYz4b906nnAg/0?wx_fmt=jpeg,https://view.inews.qq.com/tag/aEOnyrJdhWc=,否,1,否,中国,福建,6368,18,39,3
2022-07-06,2021年各省离婚率排行榜，吉林省离婚率高达71.51％？丨今日较真榜,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678919&idx=2&sn=0a2e424c4e2dc87f34b0522a285e1d29&chksm=f3c9d731c4be5e2707ce2daa6cabb75860486b6dca3c7ebd6ff26fdc36dd2432cc5a80af9ce6&scene=27#wechat_redirect,今天有哪些传言，看看是真是假？,较真妹,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgbmqKZthVFt12AttniaXX8DysfiaoDbtwG6gwTGOqTe5bQXF0OkUCqYAEmpO5G1DvibQrQzg3gZTJI0aQ/0?wx_fmt=jpeg,https://view.inews.qq.com/tag/aEOnyrJdhWc=,否,2,否,中国,湖北,11662,15,24,0
2022-07-06,某品牌雪糕高温不化、火烤也不融？真的是因为加了食用胶吗？丨较真头条,http://mp.weixin.qq.com/s?__biz=MzI4ODExNDkwNQ==&mid=2650678919&idx=1&sn=a016e4bdf1e2fdab70749a2785a9efd4&chksm=f3c9d731c4be5e27ba251683cf6e21ff49ecd41485699248108218c551d280f6be04d7371256&scene=27#wechat_redirect,雪糕只是没有化成一滩水而已。,阮光锋,http://mmbiz.qpic.cn/mmbiz_jpg/gKnytBjicgblB7ehEPnibzQNoJ1ibYeibBnPYu5CA4iazc6nM3vVcna33YQdq5GPssKRypricVjf7wJicWsyc5IiaAsQSA/0?wx_fmt=jpeg,,否,1,否,中国,湖北,17939,76,171,6
