文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-07-22,最好的福相：丰满,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=2&sn=296d345446b0fb98a7a8e675a338b503&chksm=8422fa8ab355739c5e01acedb6c05ec3fdbc9df85900b6768a43b970d34c58db699e15c34ada&scene=27#wechat_redirect,正所谓：“相由心生，吉人自有天相。”一个人有没有福相，从脸上一看便知。传统命相学中认为：“天庭饱满，地阁方圆”就是最好的福相。殊不知，好的福相，都是从自己的心地、言语、行事中修炼而来的。修好福相，为自己积攒福报，好运自然如影随形。,点击关注👉,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqfzpx4kV0iaqRoXgkJhWNj0azlkpRx7FlAqDWBsSibzJYjzQM5IzrHVTWuicpPeicEPahKIU3Yiaf9rPMg/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ?scene=25#wechat_redirect,否,2,否,中国,山西,0,0,0,0
2022-07-22,王阳明：做个心中永远有光的人！,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=3&sn=21f6e3f27f27657d17ad90ee5f007e1d&chksm=8422fa8ab355739c50a4cc4e03385ecacda8f328da30fde0ff95467eb4d04c2da69ca9716373&scene=27#wechat_redirect,王阳明一向淡泊名利，他曾说：“在这世间，人为了能够生存下去，必定会追求名、利、财等等，这样心里才会踏实。但追求身外之物时，一定得遵循自己的良知。若因为这些而泯灭良知失去本心的话，必定会后患无穷。,王守一,https://mmbiz.qpic.cn/mmbiz_png/Qob8NXDMuqcmj103WF2BKfFXrxlPE8RrgK5ibicocEf3c4LJxPmZNR2Y9bm9aEvgHuNLE2JFW4RUpzYE2VhwHseQ/0?wx_fmt=png,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,3,否,中国,山西,0,0,0,0
2022-07-22,中国老家规（这就是教养！）,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=4&sn=90bf383e9a26fcfc4c102cc9f670b040&chksm=8422fa8ab355739c6ed9c12d15f31be7b6111aaf02aaff0c233e2328e1803b537649cfdf0dd1&scene=27#wechat_redirect,好的家规，就像是那件无形的古董，影响孩子于无形，却能教育出一个个品行至忧的孩子；好的家规，更能塑造出好的家风，而好的家风，才是一个家庭的无价之宝。,点击关注👉,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqdia8Xgb565XdSdrTST9fbRDzvpeI3D4qrxpp67pKMTZcibib2ic3aV5VibicQaE0S3qbajobicxIxspicpicQ/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,4,否,中国,山西,0,0,0,0
2022-07-22,遇事最有水平的处理方法(受益匪浅),http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=5&sn=ad6610b6f5c795d8963786a916c4caab&chksm=8422fa8ab355739cd320249614fbb04ac6699524bbe86a47a638a7bcc8cf6ae4651eea24f582&scene=27#wechat_redirect,水深则流缓，语迟则人贵。脾气越温，福气越深。当脾气来的时候，福气也就走了。,伴读君,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqf8F4dxBtNNaGGKUwMGWQOlianL45eXQoJLAyJibjoqH9zykdcBf7M5KE5vd6zOalSByUs5sypgaic9A/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,5,否,中国,山西,0,0,0,0
2022-07-22,余生很贵，别与烂人计较，别与烂事纠缠,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=6&sn=107e743f71dd51565f7fe3d6cbca6202&chksm=8422fa8ab355739c5f37f12154516a6245c274715358ef956e667bbedf960eb64e78df017a07&scene=27#wechat_redirect,人一生遇到的人里，总有一些人，上赶着来给你添堵，总有一些事，鸡毛蒜皮却很糟心。对出现在生命的烂人烂事，认真你就输了。遇到烂人，及时躲避，碰上烂事，尽早抽身。余生很贵，对人对事，要学会“漠不关心”。,点击关注👉,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqdRqVtBd2Ensk4HIydxwLpXlbb96NWTXu8Kl45aeVNmsRSZiaseBNf7Iq29icroAVMTDjAicf02hJ3Eg/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,6,否,中国,山西,0,0,0,0
2022-07-22,做人，要对得起别人的善良和信任,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=7&sn=53aa22522a3b11918b9ea60d2029bc9d&chksm=8422fa8ab355739c405476d6e3e554c4141a5aa52f5b6bcd0e0f9a4f87097f5831866ea12d71&scene=27#wechat_redirect,有一种东西不可拯救，那就是绝望。有一种东西不可忘怀，那就是感恩。有一种东西不可贪恋，那就是名利。做人要大大方方，要对得起别人的善良和信任。,点击关注👉,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqdRqVtBd2Ensk4HIydxwLpXaicO4qm13pDLDJGs6KP0XOP1OiaYYUtVHr05YOicLOPT8BicEr5ibREjZVQ/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,7,否,中国,山西,0,0,0,0
2022-07-22,多与高人来往，勤与能人共事,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=8&sn=197cdd83210a1e471ab8b7ee2da1bd77&chksm=8422fa8ab355739c0b5cf2e8ea3730ad22d2bb37a0c3324b1e0a6526acd9487271c2784a3a6b&scene=27#wechat_redirect,和什么样的人相处，决定了你是什么样的人。与高人来往，自己的境界也随之提升，和能人共事，自己的能力也越来越强。,点击关注👉,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqfWyQ67egzlNu59bmgkpwogWibIYXKXUPG51mbZlwpXICcmxia4pibhQgbXkuUCGWgb3hzjs4EmyK7JQ/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,8,否,中国,山西,0,0,0,0
2022-07-22,，你是谁，就会遇见谁,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650826038&idx=1&sn=c3d489585004775dfc00f3cbd6c26230&chksm=8422fa8ab355739c9a3a8e374451f7506176c5ced8a4af22b783caeefb193a014ffae97d4181&scene=27#wechat_redirect,《易经》云：“同声相应，同气相求。”同样的声音能产生共鸣，同样的气味会互相融合。人也是一样，志趣、意见相同的人互相吸引，自然而然地结合在一起。,京博国学,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqfWyQ67egzlNu59bmgkpwogm4WH9UiaOXuLPX1KsibfdoK7rAfdhFziauJMY0eulZQqU8r4FyuJhKoIA/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,1,否,中国,山西,0,0,0,0
2022-07-21,庄子：人唯孤独，方能出众,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650825995&idx=2&sn=701dae0bbd53f1b9a4df2f6f83d7c568&chksm=8422fab7b35573a1ff1f3868e373db573614dced9a81baa4c187c9bf8f782ea247e2dfa0b323&scene=27#wechat_redirect,缺月挂疏桐，漏断人初静。谁见幽人独往来，缥缈孤鸿影。惊起却回头，有恨无人省。拣尽寒枝不肯栖，寂寞沙洲冷。,点击关注👉,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqddjLVRhWFiaazuvbyaicVRFe1YllpDv21oDgoUwWVdAtV9Sn856FkiaXLbjibq5wY513K2t1mEeURneg/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,2,否,中国,山西,0,0,0,0
2022-07-21,曾国藩：一个人能否深交，关键看这4点,http://mp.weixin.qq.com/s?__biz=MzA4NTU1MTgyNw==&mid=2650825995&idx=3&sn=97e8b8a820aa7266bbadfdb98c6f023b&chksm=8422fab7b35573a15455c2a2d2a499c5ceb2aa642b0e95fe016e7bdbaeafc6de044d40321050&scene=27#wechat_redirect,曾国藩被称为“天下至笨人”，却为世人所敬重。关于为人处世之道，他告诫后人：端庄厚重是贵相，谦卑含容是贵相，事有归着是富相，心存济物是富相。他说，拥有这四种品质的人，为人可信，做事靠谱，值得深交。,点击关注👉,https://mmbiz.qpic.cn/mmbiz_jpg/Qob8NXDMuqesEGzVrblmzrE6J6o8Q2aHicD2XaMSVxmPcx8ytfT21Q3JKCySML8esYpfbibCZQWaXDwFKz2pVtbA/0?wx_fmt=jpeg,https://mp.weixin.qq.com/s/N5EbxO_qzBsHAwpQ2hkuxQ#rd,否,3,否,中国,山西,0,0,0,0
