文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数,赞赏数
2022-12-11,巴菲特的「第一桶金」，给我们什么启示？（精品课程）,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063503&idx=2&sn=4c9251cb4fbc128c08e3049ca64c66d4&chksm=808d9941b7fa1057fb9a6e5a815451aa7163d57009ab69bea9dcbfdf7bc7ef2f17bd456515d7&scene=27#wechat_redirect,,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/eX6Tz4qQ91w9dVBIqEibD2wKZELavibcGH3bPUgEE8ibCErOgWouqfM1tUibqC9vkdU07jhqW3Xsz5tdGUiaKxYEt4w/0?wx_fmt=jpeg&amp;random=0.5615527808315333,https://appp29XZNpD3302.h5.xiaoeknow.com/p/course/column/p_62368b71e4b0f7cb7c742f52,是,2,否,中国,北京,5504,21,61,0,0
2022-12-11,每日钉一下（投资时，为啥要坚持长期投资呢？）,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063503&idx=3&sn=2b6657f71d4e909e092429ebb783e387&chksm=808d9941b7fa1057db137a6b7edd2cf21cf28ac75cb31ac62852480cb47f0f6c63f21db329c0&scene=27#wechat_redirect,每日钉一下，免费学课程,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0h9RJOeDsTctPeHe9Jmib9oYKA6VNBQiafmfb3177xXz7ZVmYJKZCRXjibMibicp09Qxqx8OntG30oTeyQ/0?wx_fmt=jpeg,https://wsq.h5.xeknow.com/s/2nB2lX,否,3,否,中国,北京,2602,16,48,7,0
2022-12-11,12月购书福利，好书打折，知识不打折：五折叠加满减，超划算,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063503&idx=1&sn=a7ee84a7508bcdebb0e34c6f9facbf81&chksm=808d9941b7fa1057a09150e8cad76698d1a966c8fc467820a62f29101c0f53d41cf5399bef83&scene=27#wechat_redirect,,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0gH1tZllOhYrwAkUrq8Mw8lPwT6TniaFbGGiadsJ1I5oAia2MsQiboUrTtu3ibL0RapFn1RFq5mIM4Q4ew/0?wx_fmt=jpeg,https://pro.m.jd.com/mall/active/2hoQJGJEvZFXU5md1BoeZa3t8YtQ/index.html,是,1,否,中国,北京,10819,21,68,4,0
2022-12-10,双十二重磅购书福利，好书打折，知识不打折：五折包邮,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063493&idx=2&sn=406921972784cff4554c026c598a5aeb&chksm=808d994bb7fa105d63fdf460ada7011aa60995c6318b0840f65ebc373db6a6c776e497fe4ce4&scene=27#wechat_redirect,,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0gH1tZllOhYrwAkUrq8Mw8lJnaq5UElm39BMfia05hWhcgYH8rAZ8LR9MSub54YoE4Keg0j77RDiaag/0?wx_fmt=jpeg,https://pro.m.jd.com/mall/active/2hoQJGJEvZFXU5md1BoeZa3t8YtQ/index.html,是,2,否,中国,北京,5959,10,49,0,0
2022-12-10,每日钉一下（私募基金的规模，多少合适呢？）,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063493&idx=3&sn=225b5c08a44f0c194b53eca16b5f18eb&chksm=808d994bb7fa105df374436968510d8cf168a9ee197e08614958637e3bebe9590ac1837a6978&scene=27#wechat_redirect,每日钉一下，免费学课程,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0h9RJOeDsTctPeHe9Jmib9oYKA6VNBQiafmfb3177xXz7ZVmYJKZCRXjibMibicp09Qxqx8OntG30oTeyQ/0?wx_fmt=jpeg,https://wsq.h5.xeknow.com/s/2nB2lX,否,3,否,中国,北京,2308,11,28,7,0
2022-12-10,找准擅长的方向，让自己建立竞争优势，螺丝钉带你读书,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063493&idx=1&sn=89515852428c99ffeb4e03d4812512e7&chksm=808d994bb7fa105d1fcef29abf02c82a1317f1e5cc5d9ebeecf30531205df1cd68e178b15737&scene=27#wechat_redirect,,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0gH1tZllOhYrwAkUrq8Mw8lLGpCuEx6KLlKFVwLpv6oibaiaonGqWqgZYkjvyyd6rHfH4iasOTdosQrw/0?wx_fmt=jpeg,https://www.ximalaya.com/shangye/13285886/?source=m_jump,是,1,否,中国,北京,17708,46,171,2,0
2022-12-09,直播回看：北证50指数，有投资价值吗？,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063450&idx=2&sn=2828e8d4b48cf765946d9b79928f50c0&chksm=808d9914b7fa10022074204e13e0894b1687740708bb1d683f851d0aeafa2db8b9a9e545664f&scene=27#wechat_redirect,,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0jjjU72JJ2sWic9m289Ogia8MKBGicnIzGcPGnIZ9COeQuYIWVTY4Kicuya1aAYeolyicYXUDYVnklgc6A/0?wx_fmt=jpeg,,是,2,否,中国,北京,5877,19,51,0,0
2022-12-09,每日钉一下（市场是否还会回到5星级呢？）,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063450&idx=3&sn=eaf4fa674bf6f83859c0330cb5590663&chksm=808d9914b7fa100280b6e5e5bb43780e12cb3082a864bc88c5b1943a8323ba1c55198871383d&scene=27#wechat_redirect,每日钉一下，免费学课程,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0h9RJOeDsTctPeHe9Jmib9oYKA6VNBQiafmfb3177xXz7ZVmYJKZCRXjibMibicp09Qxqx8OntG30oTeyQ/0?wx_fmt=jpeg,https://wsq.h5.xeknow.com/s/2nB2lX,否,3,否,中国,北京,4645,19,65,7,0
2022-12-09,［12月9日］指数估值数据(上涨时，要跟上指数）,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063450&idx=1&sn=f3ad15e3fb4b30864c5653bf5e981f39&chksm=808d9914b7fa10024c61912ccd8713a4cf868a8312776fcffe7eb8bd0ad6ec1896804e790fb5&scene=27#wechat_redirect,提供主要市场指数的近期估值，盈利收益率，市盈率，市净率，股息率,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0jWkAYKIib73icUSLBfopicDGRXGlSscqyxaGiaYQe5G0UfzFWG3X1RHK1hkW9LtFicUrhahQ24BKkGkBg/0?wx_fmt=jpeg,https://danjuanfunds.com/activity/warband-team/lsdTG,是,1,否,中国,北京,45189,114,401,14,0
2022-12-08,银行螺丝钉系列书籍2023财富月历尊享套装，12月购书福利,http://mp.weixin.qq.com/s?__biz=MzAwNzQ5ODk3Nw==&mid=2651063378&idx=2&sn=0d18a94056bd502dda518fe57938d855&chksm=808d99dcb7fa10ca8b572070231b4f67dd95b14d1dd32b82dfc963b2dec0c86e7be2b97b600a&scene=27#wechat_redirect,,银行螺丝钉,https://mmbiz.qpic.cn/mmbiz_jpg/7Fr1q82yL0jl1ugdJC91P8LmLoerAANHdnZHoSt1haDsPEhIXoRXERt0fcbEicNw8ENkvl8tA9f2fEkj53znASw/0?wx_fmt=jpeg,https://3.cn/1CM2t-YO,是,2,否,中国,北京,5575,16,45,2,0
