文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-09-19,《成就之书》，241、《金刚经》持自见性（一）,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796830&idx=2&sn=2e0f7a638ff1b71877587b1e60209513&chksm=f05d33f9c72abaef96995ab173a64259b64cbf4e97becc8c6ec24369b6e2b8bd7368916fc6a8&scene=27#wechat_redirect,241、《金刚经》持自见性（一）继续探讨《坛经》。六祖在《自序品》里向我们透露了一个可以明心见性的方法，就是,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNfTZqHmGqYomcKwc7Hv04Kaj00r03a6d6Uib9kftRmCaAoCXlHQKwIMciaj6pMdW95V5BeIRYSk3KGg/0?wx_fmt=jpeg,,是,2,否,中国,河南,0,0,0,0
2022-09-19,《澄源的小散文·吃瓜群众》,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796830&idx=1&sn=2ccb256731a41adadf47a6b11b58b1fa&chksm=f05d33f9c72abaef268e3e899c4089438a70fb533d0a993b0d469ac740d1ddf633abf91507d8&scene=27#wechat_redirect,吃瓜群众上午的阳光真好，诚彻来接我去练车，练习倒车入库，这还真是个难题，考试时的倒车入库倒是练的好，因为有可,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNfTZqHmGqYomcKwc7Hv04KadXcvF90y4owZAZOaH9T4hic7fDp2H5ia4BAP0UZvTicehlAB8TSkiaYtyg/0?wx_fmt=jpeg,,是,1,否,中国,河南,0,0,0,0
2022-09-18,《成就之书》，240、不二法门达本源（四）,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796788&idx=2&sn=9dd67d9b2df062a0ee0d2cba2488bfaa&chksm=f05d3213c72abb054fc5e65e9062a70b2159df7bb6d997baa13b54ee560fa3ef758a627a1edf&scene=27#wechat_redirect,240、不二法门达本源（四）继续探讨《坛经》里的“不二法门”。今天一位读者读了此系列之（三），给我写信说：“,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeQBqItPN7LOUbKNbxHGkTkmZzsWw4JLRMf5VAN85P0EOSkq587lXdK2FuZzgsia6K1yp9fFR16nyg/0?wx_fmt=jpeg,,是,2,否,中国,河南,0,0,0,0
2022-09-18,《澄源的小散文·，茶道有道亦无道》,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796788&idx=1&sn=783a3cb7f27029de566591fd116b1344&chksm=f05d3213c72abb058046c0cc3c924706ff6dc7d5d9dbf34d56c68c8c996c4f3a88824a0f874f&scene=27#wechat_redirect,茶道有道亦无道周六，早上多睡了会儿。昨天约了青玄见面，青玄带着老四的小老乡小梁如约而至，小梁还带来了自己做的,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeQBqItPN7LOUbKNbxHGkTkxxpic9GWMRdWf5vlDFoLaF6vpW7ia91wt9IWLN2xGdeXZibAhgc63icuHw/0?wx_fmt=jpeg,,是,1,否,中国,河南,0,0,0,0
2022-09-17,《成就之书》，239、不二法门达本源（三）,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796753&idx=2&sn=1cc488476a859e79048d05b8e7776df2&chksm=f05d3236c72abb20035a2118276cf8828afe978d955762626dee272d8bf73b23ae4d4f49601f&scene=27#wechat_redirect,239、不二法门达本源（三）我们进一步探索“不二法门”，这正是打动印宗大师的地方，他当下礼拜六祖，认他为师，,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeQBqItPN7LOUbKNbxHGkTkmZzsWw4JLRMf5VAN85P0EOSkq587lXdK2FuZzgsia6K1yp9fFR16nyg/0?wx_fmt=jpeg,,是,2,否,中国,河南,0,0,0,0
2022-09-17,《澄源的小散文·微心理》,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796753&idx=1&sn=05074fbf434978eacaaefe4ced43bc02&chksm=f05d3236c72abb20fb9409cc6684f1d8875fb127ca867c4b29c3591eaa3c07b20e6633a30e29&scene=27#wechat_redirect,微心理生活中每天都给我们出题，考验我们的心是否能经得起此起彼伏的事件。昨天的《小事件，大道理》发出后，还是有,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeQBqItPN7LOUbKNbxHGkTkXB3k3P1ft7ADNxrIsjhSsQvOlb58ia7HMFZSjk0icPo8AuDiaMuKlYicJA/0?wx_fmt=jpeg,,是,1,否,中国,河南,0,0,0,0
2022-09-16,《成就之书》，238、不二法门达本源（二）,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796700&idx=2&sn=9402e04cb76cff9c635a9f75b06af173&chksm=f05d327bc72abb6d09756299959cf2a52a797d46764f495640b1a1f6d173025fcb871f636941&scene=27#wechat_redirect,238、不二法门达本源（二）继续探索令印宗佩服而顶礼慧能的“不二法门”。印宗反复勘验慧能，“征诘奥义”，然后,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeRzZ11YwialVmnJuUJ3afYH0k0OBjYNiaMFab2yKrbEhoE3hgqINWsfTg8tBXibG6cshGluo1QibkNRw/0?wx_fmt=jpeg,,是,2,否,中国,河南,0,0,0,0
2022-09-16,《澄源的小散文·小事情，大道理》,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796700&idx=1&sn=7531e66d73c09bf1a17b9913ae19c6b4&chksm=f05d327bc72abb6df4b5ebfc94899dab71bc8897ebf11f58781d2ed17c0999daa2f2640b888f&scene=27#wechat_redirect,小事情，大道理这几天书店发生了一件小事，但凡事其事，很有启发。前些日子张玉仙老师来北京，有一位浙江的朋友请了,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeRzZ11YwialVmnJuUJ3afYHqXy0icnFkxUtpDuKhgR0AIKVMOcM70nZfzvxUT5L6IMiacniaUUtdH53w/0?wx_fmt=jpeg,,是,1,否,中国,河南,0,0,0,0
2022-09-15,《成就之书》237、不二法门达本源（一）,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796655&idx=2&sn=b7708c43c037df28f8c97e87d0c198d4&chksm=f05d3288c72abb9e0c3eb404980329857a20fb5523ff793c8ddee50d08840e98e0a483d67494&scene=27#wechat_redirect,237、不二法门达本源（一）继续探讨《坛经》。六祖慧能说了什么？竟然让一代宗师、法性寺的印宗主持顶礼六祖呢？,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNcMjic4KV7W20Y8YpI5nq1GYGgBHwhLf4eUH1wPySx5VrtBy4VwsaKBoITAgFFUkyxwM96NGK34X9Q/0?wx_fmt=jpeg,,是,2,否,中国,河南,0,0,0,0
2022-09-15,《澄源的小散文·专注的力量》,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796655&idx=1&sn=a730d0c4eb20d1431fdd806e3f3ae1f2&chksm=f05d3288c72abb9ed19ed3123011fb22942ffbd77d9a37a1140d1c09d7a3a1fa4cc33f566e45&scene=27#wechat_redirect,专注的力量在家里，我经常会被考试，老四差不多每天都会突然出道考题，考我之前看过的电视剧里的人物的名字，哪怕是,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNcMjic4KV7W20Y8YpI5nq1GYFo1d02MicvwdEqOG2JNMUgQsEReyJWMBr1qZoOsFYpUe3iaqoVNXRLTw/0?wx_fmt=jpeg,,是,1,否,中国,河南,0,0,0,0
2022-09-14,《成就之书》，236、心动一句已惊人,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796623&idx=2&sn=f7b1d5df2d86b52d7eb95655f8c5b6eb&chksm=f05d32a8c72abbbe38d3d165c67c5ddd82224a38e3e511a814197545632c02851d59bf7eeb9a&scene=27#wechat_redirect,236、心动一句已惊人继续探讨《坛经》。六祖那句“不是风动，不是幡动，是仁者心动”，可谓“一语惊四座，宗风脱,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeZmCqQjv0VZYdoj4qRHHSuG28ib2esbgwrhTeT0vmWspKfa9CdIX6a8y8PV8mGEfBeQSbrcYiaSPgg/0?wx_fmt=jpeg,,是,2,否,中国,河南,0,0,0,0
2022-09-14,《澄源的小散文·，师父，你在哪儿》,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796623&idx=1&sn=425870a0e158400271620560e9b18e63&chksm=f05d32a8c72abbbec966189c5610d0d537f75289bcff768ad38a717658656bdcb2e8ff47d8b1&scene=27#wechat_redirect,师父，你在哪儿晚上九点多，朋友发来信息，给我们买了秋月梨，已经到家门口了。打开房门，有两件快递，有一箱是秋月,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNeZmCqQjv0VZYdoj4qRHHSuKIgYKXV76vWpn4mc4ORyEoia94W1iaGcKBn8CcRzHlVnrMSNOicGLw8GA/0?wx_fmt=jpeg,,是,1,否,中国,河南,0,0,0,0
2022-09-13,《成就之书》，235、时当弘法祖师心,http://mp.weixin.qq.com/s?__biz=MzIyODE0NTU0NA==&mid=2650796571&idx=2&sn=5e332b16654e35494d0659fc1f7a2d94&chksm=f05d32fcc72abbea358fb04366d7aef2e6c61fad2a5367915102a9c3913df35417e67f7206a6&scene=27#wechat_redirect,235、时当弘法祖师心继续探讨《坛经》。每一个得法者、得道者最大的心愿是传法弘道。这是祖师们一代代传承法脉的,陈全林,https://mmbiz.qpic.cn/mmbiz_jpg/OCm3EudVbNdIbmhf827uadCibl43Hm9Hsyp3UkfRZ4fnZ84wyK8jyfh0jSWJyH2VjAVqX86x7nsbTTf4Z1Zt9Mg/0?wx_fmt=jpeg,,是,2,否,中国,河南,0,0,0,0
