文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-07-03,20220703人心叵测,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494626&idx=1&sn=327fd09fcafc0d62f604488a43389bf4&chksm=ea211861dd569177d8fb0e4801987cad4579b56a0379e44344f2fa3a55c670ba7966ad081089&scene=27#wechat_redirect,我有点晕，我有永远停更的想法了。,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzDzJ5LmxvDmYOppZ6uzj2bIm02UeCOesqtlU4ZLI6waF6mVjB9mic3ZGMAuicq5tghdERUs1TbQKMvA/0?wx_fmt=jpeg,,否,1,否,中国,四川,0,0,0,0
2022-06-29,停更。,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494594&idx=1&sn=e11fc306ffa84c8bae582b3e0165eb90&chksm=ea211841dd5691576f977a69c62a72a8b29a8a2a23ece94d8da1a99b3afc721716f54379caef&scene=27#wechat_redirect,,,,,否,1,否,中国,四川,0,0,0,0
2022-06-28,20220627笨笨们看过来,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494585&idx=1&sn=70d8499f67daae209aaa891617b19c72&chksm=ea21183add56912ce292d83ccf7cf4c492e78dc82abacb0c1b5c27a4c400fa27f1ca5d30ce3b&scene=27#wechat_redirect,炒股是一项很容易亏钱的活动，建议各位不要盲目模仿。,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzD6l8TqNpGuVK1PquGlYngpY9QnNUeprar4dv3w61ibvN7CXyCPLM9ZZRdyibrYUI5MUQEfX9zXJJGg/0?wx_fmt=jpeg,,是,1,否,中国,四川,0,0,0,33
2022-06-27,20220627指数中期信号跟踪,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494575&idx=1&sn=7d1d320491515d5a7a173623c20c116b&chksm=ea21182cdd56913a3de17824ed83e5f5957f377ec3b810ac30d904e194a99401011a321b202c&scene=27#wechat_redirect,下周2022年7月1日的止损认错点位设置为399106深证综指周收盘低于2085点（对应2022年6月10日收盘点位）。,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzC9rplqetC7iaNTPloo2RssWfdUDc281p92cFEHIgn1d2ckDgvkRr6LGvhgFia5KmBBynTaicUn8ibficQ/0?wx_fmt=jpeg,,否,1,否,中国,四川,0,0,0,33
2022-06-26,20220626《月线反转6.0》一生只能爱一回,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494568&idx=1&sn=fa2c4ff436c4c9894bc462c7ba901f02&chksm=ea21182bdd56913d6a37018ea1ac96543a07176a477eaf939c4efa3d3dc88aff4eb11fd1e916&scene=27#wechat_redirect,幸好A股股票数量足够多，后宫佳丽五千股，允许我爱了一只又一只。,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzB5VIuQictb7EGMicX1UH51v7icvicIkOaUUmRak40hM7TZaCVSwKM0gVrSp7Rztz2aFNZViassaN1AGEw/0?wx_fmt=jpeg,,否,1,是,中国,四川,0,0,0,80
2022-06-25,20220625,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494564&idx=1&sn=2bc179cb41e9789bba8613710435a274&chksm=ea211827dd569131971e7d66aeda70422e3afafe6ee184866e3f34fdd8a40e5ed78756d154d9&scene=27#wechat_redirect,周末愉快。,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzArU1XUtHTNXFEc4fUTNJnWjkYvfF6oMDJmAa7eOuWzjLThV9BwsZtict0oZibSibumMib3Fy8DvPNjfw/0?wx_fmt=jpeg,,否,1,否,中国,四川,0,0,0,16
2022-06-24,20220624继续坚定做减法,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494554&idx=1&sn=05e6ca8b844d4248955539bd24eb4a2a&chksm=ea211819dd56910f2291fc5294c7f663dd0af59478bcf748a6259686a003d5ed848761aef073&scene=27#wechat_redirect,新增的约束条件。,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzCDDCLLP2EetzsXHUKOEnFPbpklW8NOobWia3posZRuwRHjK97F2xY1WrwjwcEZicda9OlvVEDicAvJw/0?wx_fmt=jpeg,,否,1,否,中国,四川,0,0,0,36
2022-06-23,20220623想多了,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494528&idx=1&sn=842fd73bfa54d7aa1134eee4bc6b2d1a&chksm=ea211803dd569115bf77afcc1b87c280f2bb7767355eb0b87d7ba626072be1e388fe9c15a88a&scene=27#wechat_redirect,说牛市来了的观点，纯粹是想多了。,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzCTsz6E12tuNav8vUW57uHg2TTfZX2euOjzSTlfTDqqBzQZCzNL7lt3nCr2GcOYZ4kQwhBULBGWtw/0?wx_fmt=jpeg,,是,1,否,中国,四川,0,0,0,24
2022-06-22,20220621灵光一现,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494511&idx=1&sn=adfd6b364866ab395f2cda7132bdfee2&chksm=ea2118ecdd5691fa5e0e943f8f411fd7cd0b7762182f5ca002094208b6a1f92d9bc5ee2ae534&scene=27#wechat_redirect,月线反转6.0公式日趋满意，吾甚慰！,陶博士2006,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzAKrAgdSFaQLDP6bZ14xrUmrEnef5Cn0ZJ4BE2qCIXa7z9N1lE33sPz0siaOFZ4Xl6JAIHCibcmbWcw/0?wx_fmt=jpeg,,是,1,否,中国,四川,0,0,0,29
2022-06-21,20111109咬定“消费”不放松,http://mp.weixin.qq.com/s?__biz=MzI1NjYzMjU1Ng==&mid=2247494501&idx=2&sn=f087c8cf5e1c96bdc50ba72407dadda7&chksm=ea2118e6dd5691f0662e50b8098bb71aeb8cdab5ff11fb83c387d2445cf19161481c0f561d7d&scene=27#wechat_redirect,分享一篇文章。,,http://mmbiz.qpic.cn/mmbiz_jpg/MqsrT7oYpzBcDOiaj6dQjAnAVZVV9bVkKBInzmay43fTia9jjcqaUb03ZOSRgOdicRC5C8KdpesJAczZVhaRicNAZA/0?wx_fmt=jpeg,,否,2,否,中国,四川,0,0,0,1
