发布日期,文章标题,文章链接,文章简介,文章作者,是否原创,文章位置,阅读数,在看数,点赞数
2021-12-31,盘点2021年十大事件，全行业正卷入视频号浪潮,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262484&idx=2&sn=284a7a3fb89c482744d7b901f3a2d01f&chksm=beddf68489aa7f92a44f238a10f155c35a0b0ba4b2426ea20bd6c178f43e8df4b4af9f3222de&scene=27#wechat_redirect,视频号加速起跑,阿尼玛,否,2,142,0,0
2021-12-31,“南方周末2022新年献词”在看点赞数双破万，“，疫情流调报告里，藏着普通人生活的真相”成账号爆款，每日爆款,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262484&idx=3&sn=81d36059174bc83513047cce2d84d08e&chksm=beddf68489aa7f92f57a7a270fb2e6852a823121fb3fbfb228256ede3ba7615ec2a75304360d&scene=27#wechat_redirect,微果酱每日为你筛选爆文,小曼,否,3,139,1,2
2021-12-31,微信内测更新，视频号直播引流放大招，安卓用户终于也有这个功能了！,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262484&idx=1&sn=3ca89cb883b23046ab58bc79743dbd32&chksm=beddf68489aa7f9271ce8798202baecb7a4ace3a76b43fe17fef95716ffaf0c0f58793db8657&scene=27#wechat_redirect,每周为你筛选最值得关注的新媒体资讯,陈出木,否,1,1341,5,5
2021-12-30,【智云天工】【北辰青年】【塔门】招人啦！,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262393&idx=2&sn=6ce96cd7718ba23406ed714926667fa2&chksm=beddf62989aa7f3fa9acd797fdab45c3f93718388fb3fec7c5808ba3073c4a8dbbdd4b8ac3b7&scene=27#wechat_redirect,微果酱提供新媒体招聘信息发布渠道。,小曼,否,2,188,0,1
2021-12-30,“重述我们的故事，2021年性别事件观察”成账号爆款，“，专访三只松鼠模特：你可以不喜欢，但是不能诋毁”引热议，每日爆款,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262393&idx=3&sn=8982b412bcc060530b540bf6237b444f&chksm=beddf62989aa7f3f15c13bc1b1f08822f0b89994adaff40d144abb4d35808f4bdbfc1de535b0&scene=27#wechat_redirect,微果酱每日为你筛选爆文,木木,否,3,156,0,2
2021-12-30,微果酱招募合作伙伴，我们又给您找了个挣钱路子,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262393&idx=1&sn=07c31a1f1ecbec51e84010c64fd2c444&chksm=beddf62989aa7f3f952ad3b5e6d9a3dd6ebd51b8eeeb73e511a253db5128f8f8112ffbf451bf&scene=27#wechat_redirect,一起来赚钱！,微果酱编辑部,否,1,1305,5,8
2021-12-29,“谣言的套路”成账号爆款，“，成年人的年终总结”引共鸣，每日爆款,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262237&idx=2&sn=30f8f70ce57da235cec0f263df99585b&chksm=beddf78d89aa7e9b59f141e095c3026ec8de6bb59a64e6d34c84ad37505a44a19eb5a275536c&scene=27#wechat_redirect,微果酱每日为你筛选爆文,小曼,否,2,409,2,3
2021-12-29,@微信2021：公众号正在“自救”，视频号加速“造血”,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650262237&idx=1&sn=324fc641243e736221f20f6c0100d88a&chksm=beddf78d89aa7e9bad4db8f6f3fcb3e33999691be2d7996f3ab4d15085b5837fe852d26dea1d&scene=27#wechat_redirect,微信和用户之间的博弈仍将继续，并一直持续。,陈出木,是,1,3314,15,25
2021-12-28,“这尺度央视居然敢播？”成账号爆款，“，豪宅到手，李靓蕾果然不闹了吧”引热议，每日爆款,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650261866&idx=2&sn=298643dbea56f0b47c63e0896a25f399&chksm=beddf43a89aa7d2cc466f44c012442382b722ab72db826e6de4abc5477733c341fea9e805768&scene=27#wechat_redirect,微果酱每日为你筛选爆文,小曼,否,2,850,0,2
2021-12-28,张同学引爆抖音、大猛子火遍B站：2021年流量密码叫“人间烟火气”,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650261866&idx=1&sn=a14c4d1dee7c02a493bb12fd60d45930&chksm=beddf43a89aa7d2c13fccac15283502f6a29d2c425b0a5d13d668eb1da810b97d807306a93a1&scene=27#wechat_redirect,本身是尘，生活有光。,游人,否,1,1612,9,12
2021-12-27,微信新功能，真香！,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650261781&idx=2&sn=fd65bb55249864bdc6f01df3814012ca&chksm=beddf44589aa7d53aec166cd76d724c4718528f80420da1bb190c7d0d2fefdc9ce81a013e299&scene=27#wechat_redirect,终于等到你,zhou大红,是,2,1499,4,6
2021-12-27,“，和温柔的人在一起，到底有多舒服？”在看点赞数双破万，“娱乐圈年度大瓜”成账号爆款，每日爆款,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650261781&idx=3&sn=2f8caa72fd1c24073a140d32495d40df&chksm=beddf44589aa7d53a3c99658cfa63837c4a93b1c3ec79ecf23e9cd48a760ad01557c3640a0ee&scene=27#wechat_redirect,微果酱每日为你筛选爆文,小曼,否,3,327,3,5
2021-12-27,我在“有道词典”赚钱：单篇收入过千，4个月从小白逆袭KOL,http://mp.weixin.qq.com/s?__biz=MjM5NzEzNzQ3MQ==&mid=2650261781&idx=1&sn=bcfc2fb0721d1bb709fe1809bfa13944&chksm=beddf44589aa7d53b2df306aa32750d2efe083fbee50c8e4521c47372da1caa49f8442dfda8e&scene=27#wechat_redirect,有道词典会是内容创业下一个快车道吗？,陈出木,否,1,2893,15,20
